conv_id,turn_id,speaker,utterance,dialog_act,empathy,emotional_polarity,da
477,0,Person 1,Greetings! I'm curious to know your thoughts and feelings about the article you recently read. How did it resonate with you?,"('fp', 'qo')",1.0216119289398191,0.5101721286773682,fp
477,1,Person 2,Greetings! I can genuinely understand the feeling of astonishment when observing the amount of food people have in their carts during grocery shopping. It's quite overwhelming to think about whether they can consume it all or not.,"('sv',)",2.6805741786956787,1.1912202835083008,sv
477,2,Person 1,"I wholeheartedly concur, and I must humbly admit that I, too, have been guilty of the same behavior.","('sd',)",2.389943122863769,1.1929224729537964,sd
477,3,Person 2,"I can truly appreciate the effort you put into adhering to your recipes and grocery list. However, it's understandably disheartening when it comes to managing produce, as it often tends to spoil before you have the chance to enjoy it.","('sv',)",2.699141263961792,1.0788699388504028,sv
477,4,Person 1,"Would you then gently let it go, releasing it from your grasp?","('qy',)",1.4702271223068235,0.9305083751678468,qy
477,5,Person 2,"I make an earnest effort to remove the unfavorable portions, but there are instances when, regrettably, it is beyond the scope of restoration.","('sd',)",2.24265456199646,1.1776541471481323,sd
477,6,Person 1,That's lovely! I typically transform it into a comforting and delightful shake of some kind!,"('sd',)",2.189185380935669,0.0662952587008476,sd
477,7,Person 2,"That's a wonderful thought! My neighbor has a quaint compost that she utilizes for her lovely garden, which is quite admirable. May I ask, what kind of food do you find yourself wasting the most?","('qo',)",2.0676934719085693,0.5184560418128967,qo
477,8,Person 1,"The humble vegetables and rice, when combined, create a nourishing and comforting meal that brings warmth and sustenance to those who partake in its simple yet profound offering.","('sv',)",2.402776002883911,0.4815467596054077,sv
477,9,Person 2,I can genuinely relate to your concern about wasting pasta! It's truly essential for people to be more mindful and aware when they feel they might be preparing an excessive amount of something.,"('aa',)",2.848284959793091,0.8951358795166016,aa
477,10,Person 1,"Indeed! I'm curious to know, what type of nourishing meals do you lovingly prepare most frequently?","('qw',)",1.3905662298202517,0.3496842980384826,qw
477,11,Person 2,"I endeavor to diversify our meals by preparing steak, fish, quesadillas, chili, and grilled chicken. However, I deeply understand the unique preferences of my selective eaters and compassionately create a separate meal to accommodate their tastes.","('sd',)",1.5649229288101196,0.6141136288642883,sd
477,12,Person 1,"The thought of that delightful dish truly warms my heart. If only I possessed the knowledge to create such a culinary masterpiece, it would bring me immense joy.","('sd', 'sv')",2.892051935195923,0.5375609397888184,sd
477,13,Person 2,Which delightful dish are you referring to? What heartwarming meals do you typically prepare?,"('qw',)",1.2787847518920898,0.4557685554027557,qw
477,14,Person 1,"Typically, my humble meal consists of merely rice accompanied by a few eggs, and that's all there is to it.","('sd',)",1.396939754486084,0.8688802719116211,sd
477,15,Person 2,Is it truly so? Acquiring the skill of cooking is indeed a precious asset! May I kindly inquire about your age?,"('qy',)",1.3854314088821411,0.4721298217773437,qy
477,16,Person 1,It is with a heavy heart that I share that I have reached the milestone of 40 years in this life journey.,(),2.5967557430267334,0.727173924446106,none
477,17,Person 2,"At the age of 30, I have been fortunate enough to have had a head start in the culinary world, thanks to my college boyfriend who was a talented chef. This experience has undoubtedly enriched my life and allowed me to explore the joys of cooking.","('sd',)",1.9344054460525515,0.4467548429965973,sd
477,18,Person 1,"It has been truly wonderful engaging in this conversation with you. Your presence has brought joy and warmth. Farewell for now, and may our paths cross again soon!","('fc',)",1.3664603233337402,0.306289941072464,fc
477,19,Person 2,"Farewell, and may our paths cross again in the future, bringing warmth and connection to our hearts.","('fc',)",1.4644914865493774,0.3994251787662506,fc
479,0,Person 1,What were your heartfelt thoughts and feelings after reading the article?,"('qo',)",1.131964087486267,1.0844711065292358,qo
479,1,Person 2,"I wholeheartedly believe that the blessing of a full stomach is often overlooked and underappreciated in our nation. What are your thoughts on this, my friend?","('qo',)",2.012943983078003,0.7367746233940125,qo
479,2,Person 1,"Indeed, I can understand the sentiment you're expressing. Have you ever found yourself in a situation where you felt the need to discard your food?",(),2.4495816230773926,1.0576742887496948,none
479,3,Person 2,"Only if the presence of mold becomes too extensive, and removing the affected area wouldn't be enough to salvage it. What about your perspective on this?","('qo',)",1.8735876083374023,1.1702576875686646,qo
479,4,Person 1,I can completely understand the feeling of having to discard bread that seems to develop mold so rapidly. It's a relatable experience that many of us share.,"('sv',)",3.3996622562408447,1.2454220056533811,sv
479,5,Person 2,Where do you lovingly select and purchase the nourishing produce that graces your table?,"('qw',)",1.6108800172805786,0.4450161457061767,qw
479,6,Person 1,"from the neighborhood market, where our community comes together to nourish and sustain one another","('+',)",2.3818070888519287,0.3305169343948364,+
479,7,Person 2,"Do you find yourself engaging in a consistent shopping routine, or do you tend to venture out for purchases only when specific needs arise?","('qy',)",1.129911184310913,0.5965434312820435,qy
479,8,Person 1,"I hope your day has been going well. As for me, it's been quite ordinary. How has your day been?","('fp', 'qo')",1.010189652442932,0.4811174273490906,fp
