conv_id,turn_id,speaker,utterance,dialog_act,empathy,emotion,emotional_polarity,self_disclosure,empathy_mean,da
477,0,Person 1,"ahoy, what did you think about the article?","('qo',)",0.560234845,0.706659138,0.774597049,0.787016571,1.410603794,qo
477,1,Person 2,"Hello, I do not find it shocking, when I go grocery shopping I find it kind of insane with how much food people have in their carts like no way they can eat it all","('sv',)",2.354839563,2.715030909,1.687318444,2.955718279,1.410603794,sv
477,2,Person 1,"I agree, i am guilty of it myself to be honest","('aa',)",1.706108689,2.392849445,1.689476967,2.997327089,1.410603794,aa
477,3,Person 2,I am pretty good with sticking to my recipes and my list but I have a problem with produce since it seems to go bad a lot of the time before we have time to eat it,"('sd',)",1.720752954,2.016332388,1.209879398,3.090903997,1.410603794,sd
477,4,Person 1,Do you just throw it away then?,"('qy',)",1.087586999,1.272931695,1.196428537,1.344572663,1.410603794,qy
477,5,Person 2,I try to cut off the bad pieces but sometimes its not salvageable,"('sd',)",2.327995062,2.274957895,1.730832338,2.396507978,1.410603794,sd
477,6,Person 1,"Nice, i usually just turn it into a shake of some sort!","('sd',)",1.457555532,2.106632471,0.419588238,2.129436255,1.410603794,sd
477,7,Person 2,"Thats a good idea, my neighbor has a little compost that she uses for a garden which is cool. What type of food do you waste the most of","('sd',)",1.960178614,1.95574224,0.465205133,2.451621532,1.410603794,sd
477,8,Person 1,Vegetables and rice,"('sd',)",0.7548123,0.83744812,0.839649916,1.352275252,1.410603794,sd
477,9,Person 2,"Yea I have a problem with wasting pasta, i guess people need to be more conscious of when they think they are making too much of something","('aa', 'sv')",2.208585501,2.159866571,1.738406539,2.52358532,1.410603794,aa
477,10,Person 1,True! What kind of food do you cook the most?,"('qw',)",1.085108995,1.335405707,0.479330629,1.416232347,1.410603794,qw
477,11,Person 2,"I try to switch it up but I make steak, fish, quesadillas, chili, grilled chicken and then have to make a separate meal for my picky eaters","('sd',)",1.584086061,1.913880348,1.114394665,3.04852438,1.410603794,sd
477,12,Person 1,That sounds delicious. I wish i knew how to make that,"('sv',)",2.476317644,3.044588327,0.584715247,2.410622835,1.410603794,sv
477,13,Person 2,Which thing? What do you usually cook,"('qw',)",0.469551891,0.824924648,0.497411638,1.095483184,1.410603794,qw
477,14,Person 1,I usually just eat rice with some eggs. That's it,"('sd',)",1.331195593,1.505969882,0.851540565,2.797165632,1.410603794,sd
477,15,Person 2,"For real? Learning how to cook is a very valuable tool, how old are you?","('aa', 'qw')",1.306407928,2.087439299,0.654570341,1.731624722,1.410603794,aa
477,16,Person 1,I am 40 years old unfortunately,"('sd',)",1.202551961,2.000454187,1.440343499,2.815093517,1.410603794,sd
477,17,Person 2,"I am 30, my boyfriend in college was a chef though so maybe i got a head start in the culinary world","('sd',)",1.244713068,1.623591304,0.48748669,3.020272017,1.410603794,sd
477,18,Person 1,That's awesome. It was nice talking to you! bye,"('fc',)",0.997496188,2.019673824,0.380253047,1.208856344,1.410603794,fc
477,19,Person 2,bye,"('fc',)",0.3759965,0.742811799,1.016468167,0.913960814,1.410603794,fc
479,0,Person 1,what did you think about the article?,"('qo',)",0.635084331,0.681005538,1.001944184,0.779372454,1.421981291,qo
